funfun.ko	KEGG.pathway	pathway.name
ko00010	ko00010	Glycolysis##/##Gluconeogenesis
ko00020	ko00020	Citrate##cycle##(TCA##cycle)
ko00030	ko00030	Pentose##phosphate##pathway
ko00040	ko00040	Pentose##and##glucuronate##interconversions
ko00051	ko00051	Fructose##and##mannose##metabolism
ko00052	ko00052	Galactose##metabolism
ko00053	ko00053	Ascorbate##and##aldarate##metabolism
ko00061	ko00061	Fatty##acid##biosynthesis
ko00062	ko00062	Fatty##acid##elongation
ko00071	ko00071	Fatty##acid##degradation
ko00073	ko00073	Cutin,##suberine##and##wax##biosynthesis
ko00100	ko00100	Steroid##biosynthesis
ko00120	ko00120	Primary##bile##acid##biosynthesis
ko00121	ko00121	Secondary##bile##acid##biosynthesis
ko00130	ko00130	Ubiquinone##and##other##terpenoid-quinone##biosynthesis
ko00140	ko00140	Steroid##hormone##biosynthesis
ko00190	ko00190	Oxidative##phosphorylation
ko00195	ko00195	Photosynthesis
ko00196	ko00196	Photosynthesis##-##antenna##proteins
ko00220	ko00220	Arginine##biosynthesis
ko00230	ko00230	Purine##metabolism
ko00232	ko00232	Caffeine##metabolism
ko00240	ko00240	Pyrimidine##metabolism
ko00250	ko00250	Alanine,##aspartate##and##glutamate##metabolism
ko00253	ko00253	Tetracycline##biosynthesis
ko00254	ko00254	Aflatoxin##biosynthesis
ko00260	ko00260	Glycine,##serine##and##threonine##metabolism
ko00261	ko00261	Monobactam##biosynthesis
ko00270	ko00270	Cysteine##and##methionine##metabolism
ko00280	ko00280	Valine,##leucine##and##isoleucine##degradation
ko00281	ko00907	Pinene,##camphor##and##geraniol##degradation
ko00290	ko00290	Valine,##leucine##and##isoleucine##biosynthesis
ko00300	ko00300	Lysine##biosynthesis
ko00310	ko00310	Lysine##degradation
ko00311	ko00311	Penicillin##and##cephalosporin##biosynthesis
ko00330	ko00330	Arginine##and##proline##metabolism
ko00331	ko00331	Clavulanic##acid##biosynthesis
ko00332	ko00332	Carbapenem##biosynthesis
ko00333	ko00333	Prodigiosin##biosynthesis
ko00340	ko00340	Histidine##metabolism
ko00350	ko00350	Tyrosine##metabolism
ko00360	ko00360	Phenylalanine##metabolism
ko00361	ko00361	Chlorocyclohexane##and##chlorobenzene##degradation
ko00362	ko00362	Benzoate##degradation
ko00363	ko00363	Bisphenol##degradation
ko00364	ko00364	Fluorobenzoate##degradation
ko00365	ko00365	Furfural##degradation
ko00380	ko00380	Tryptophan##metabolism
ko00400	ko00400	Phenylalanine,##tyrosine##and##tryptophan##biosynthesis
ko00401	ko00401	Novobiocin##biosynthesis
ko00402	ko00402	Benzoxazinoid##biosynthesis
ko00403	ko00403	Indole##diterpene##alkaloid##biosynthesis
ko00404	ko00404	Staurosporine##biosynthesis
ko00405	ko00405	Phenazine##biosynthesis
ko00410	ko00410	beta-Alanine##metabolism
ko00430	ko00430	Taurine##and##hypotaurine##metabolism
ko00440	ko00440	Phosphonate##and##phosphinate##metabolism
ko00450	ko00450	Selenocompound##metabolism
ko00460	ko00460	Cyanoamino##acid##metabolism
